source;target;edge_type;weight
"Moreau2116_GBOOKSph43";"Moreau2116_GBOOKSph44";"precedence";"1"
"Moreau2116_GBOOKSph44";"Moreau2116_GBOOKSph45";"precedence";"1"
"Moreau2116_GBOOKSph45";"Moreau2116_GBOOKSph46";"precedence";"1"
"Moreau2116_GBOOKSph46";"Moreau2116_GBOOKSph47";"precedence";"1"
"Moreau2116_GBOOKSph47";"Moreau2116_GBOOKSph48";"precedence";"1"
"Moreau2116_GBOOKSph48";"Moreau2116_GBOOKSph49";"precedence";"1"
"Moreau2116_GBOOKSph49";"Moreau2116_GBOOKSph50";"precedence";"1"
"Moreau2116_GBOOKSph50";"Moreau2116_GBOOKSph51";"precedence";"1"
"Moreau2116_GBOOKSph51";"Moreau2116_GBOOKSph52";"precedence";"1"
"Moreau2116_GBOOKSph52";"Moreau2116_GBOOKSph53";"precedence";"1"
"Moreau2116_GBOOKSph53";"Moreau2116_GBOOKSph54";"precedence";"1"
"Moreau2116_GBOOKSph54";"Moreau2116_GBOOKSph55";"precedence";"1"
"Moreau2116_GBOOKSph55";"Moreau2116_GBOOKSph56";"precedence";"1"
"Moreau2116_GBOOKSph56";"Moreau2116_GBOOKSph57";"precedence";"1"
"Moreau2143_GBOOKSph0";"Moreau2143_GBOOKSph1";"precedence";"1"
"Moreau2143_GBOOKSph1";"Moreau2143_GBOOKSph2";"precedence";"1"
"Moreau2143_GBOOKSph2";"Moreau2143_GBOOKSph3";"precedence";"1"
"Moreau2143_GBOOKSph3";"Moreau2143_GBOOKSph4";"precedence";"1"
"Moreau2143_GBOOKSph4";"Moreau2143_GBOOKSph5";"precedence";"1"
"Moreau2143_GBOOKSph5";"Moreau2143_GBOOKSph6";"precedence";"1"
"Moreau2143_GBOOKSph6";"Moreau2143_GBOOKSph7";"precedence";"1"
"Moreau2143_GBOOKSph7";"Moreau2143_GBOOKSph8";"precedence";"1"
"Moreau2143_GBOOKSph8";"Moreau2143_GBOOKSph9";"precedence";"1"
"Moreau2143_GBOOKSph9";"Moreau2143_GBOOKSph10";"precedence";"1"
"Moreau2143_GBOOKSph10";"Moreau2143_GBOOKSph11";"precedence";"1"
"Moreau2143_GBOOKSph11";"Moreau2143_GBOOKSph12";"precedence";"1"
"Moreau2143_GBOOKSph12";"Moreau2143_GBOOKSph13";"precedence";"1"
"Moreau2143_GBOOKSph13";"Moreau2143_GBOOKSph14";"precedence";"1"
"Moreau2164_MAZph0";"Moreau2164_MAZph1";"precedence";"1"
"Moreau2164_MAZph1";"Moreau2164_MAZph2";"precedence";"1"
"Moreau2164_MAZph2";"Moreau2164_MAZph3";"precedence";"1"
"Moreau2107_GBOOKSph0";"Moreau2107_GBOOKSph1";"precedence";"1"
"Moreau2107_GBOOKSph1";"Moreau2107_GBOOKSph2";"precedence";"1"
"Moreau2107_GBOOKSph2";"Moreau2107_GBOOKSph3";"precedence";"1"
"Moreau2107_GBOOKSph3";"Moreau2107_GBOOKSph4";"precedence";"1"
"Moreau2107_GBOOKSph4";"Moreau2107_GBOOKSph5";"precedence";"1"
"Moreau2107_GBOOKSph5";"Moreau2107_GBOOKSph6";"precedence";"1"
"Moreau2107_GBOOKSph6";"Moreau2107_GBOOKSph7";"precedence";"1"
"Moreau2107_GBOOKSph7";"Moreau2107_GBOOKSph8";"precedence";"1"
"Moreau2107_GBOOKSph8";"Moreau2107_GBOOKSph9";"precedence";"1"
"Moreau2107_GBOOKSph9";"Moreau2107_GBOOKSph10";"precedence";"1"
"Moreau2107_GBOOKSph10";"Moreau2107_GBOOKSph11";"precedence";"1"
"Moreau2107_GBOOKSph11";"Moreau2107_GBOOKSph12";"precedence";"1"
"Moreau2107_GBOOKSph12";"Moreau2107_GBOOKSph13";"precedence";"1"
"Moreau2107_GBOOKSph13";"Moreau2107_GBOOKSph14";"precedence";"1"
"Moreau2107_GBOOKSph14";"Moreau2107_GBOOKSph15";"precedence";"1"
"Moreau2107_GBOOKSph15";"Moreau2107_GBOOKSph16";"precedence";"1"
"Moreau2130_GBOOKSph0";"Moreau2130_GBOOKSph1";"precedence";"1"
"Moreau2130_GBOOKSph1";"Moreau2130_GBOOKSph2";"precedence";"1"
"Moreau2130_GBOOKSph2";"Moreau2130_GBOOKSph3";"precedence";"1"
"Moreau2130_GBOOKSph3";"Moreau2130_GBOOKSph4";"precedence";"1"
"Moreau2130_GBOOKSph4";"Moreau2130_GBOOKSph5";"precedence";"1"
"Moreau2130_GBOOKSph5";"Moreau2130_GBOOKSph6";"precedence";"1"
"Moreau2130_GBOOKSph6";"Moreau2130_GBOOKSph7";"precedence";"1"
"Moreau2130_GBOOKSph7";"Moreau2130_GBOOKSph8";"precedence";"1"
"Moreau2130_GBOOKSph8";"Moreau2130_GBOOKSph9";"precedence";"1"
"Moreau2130_GBOOKSph9";"Moreau2130_GBOOKSph10";"precedence";"1"
"Moreau2130_GBOOKSph10";"Moreau2130_GBOOKSph11";"precedence";"1"
"Moreau2130_GBOOKSph11";"Moreau2130_GBOOKSph12";"precedence";"1"
"Moreau2130_GBOOKSph12";"Moreau2130_GBOOKSph13";"precedence";"1"
"Moreau2130_GBOOKSph13";"Moreau2130_GBOOKSph14";"precedence";"1"
"Moreau2149_GBOOKSph0";"Moreau2149_GBOOKSph1";"precedence";"1"
"Moreau2149_GBOOKSph1";"Moreau2149_GBOOKSph2";"precedence";"1"
"Moreau2149_GBOOKSph2";"Moreau2149_GBOOKSph3";"precedence";"1"
"Moreau2149_GBOOKSph3";"Moreau2149_GBOOKSph4";"precedence";"1"
"Moreau2149_GBOOKSph4";"Moreau2149_GBOOKSph5";"precedence";"1"
"Moreau2149_GBOOKSph5";"Moreau2149_GBOOKSph6";"precedence";"1"
"Moreau2149_GBOOKSph6";"Moreau2149_GBOOKSph7";"precedence";"1"
"Moreau2149_GBOOKSph7";"Moreau2149_GBOOKSph8";"precedence";"1"
"Moreau2149_GBOOKSph8";"Moreau2149_GBOOKSph9";"precedence";"1"
"Moreau2149_GBOOKSph9";"Moreau2149_GBOOKSph10";"precedence";"1"
"Moreau2149_GBOOKSph10";"Moreau2149_GBOOKSph11";"precedence";"1"
"Moreau2149_GBOOKSph11";"Moreau2149_GBOOKSph12";"precedence";"1"
"Moreau2149_GBOOKSph12";"Moreau2149_GBOOKSph13";"precedence";"1"
"Moreau2149_GBOOKSph13";"Moreau2149_GBOOKSph14";"precedence";"1"
"Moreau2149_GBOOKSph14";"Moreau2149_GBOOKSph15";"precedence";"1"
"Moreau2149_GBOOKSph15";"Moreau2149_GBOOKSph16";"precedence";"1"
"Moreau2149_GBOOKSph16";"Moreau2149_GBOOKSph17";"precedence";"1"
"Moreau2149_GBOOKSph17";"Moreau2149_GBOOKSph18";"precedence";"1"
"Moreau2149_GBOOKSph18";"Moreau2149_GBOOKSph19";"precedence";"1"
"Moreau2149_GBOOKSph19";"Moreau2149_GBOOKSph20";"precedence";"1"
"Moreau2149_GBOOKSph20";"Moreau2149_GBOOKSph21";"precedence";"1"
"Moreau2149_GBOOKSph21";"Moreau2149_GBOOKSph22";"precedence";"1"
"Moreau2149_GBOOKSph22";"Moreau2149_GBOOKSph23";"precedence";"1"
"Moreau2149_GBOOKSph23";"Moreau2149_GBOOKSph24";"precedence";"1"
