Source;Target;TypeLien;Weight;AverageHash
OFrancois60200;FrontPopOff;Follow;1;
OFrancois60200;LesConservateur;Follow;1;
OFrancois60200;barkanos;Follow;1;
OFrancois60200;ChanthanThip;Follow;1;
OFrancois60200;jeanletaxe;Follow;1;
OFrancois60200;Andrgilles1;Follow;1;
OFrancois60200;PartisansMarine;Follow;1;
OFrancois60200;PGannat;Follow;1;
OFrancois60200;LEtudiant_Libre;Follow;1;
OFrancois60200;AberlinJacklyne;Follow;1;
TissotOlivier;OFrancois60200;Partage;0.1;007e202e3c7070f8
JenRavin;xarratt;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;Barberis888;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;OnarriveMarie;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;Choukker;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;abbealdric;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;Fillon2017Rueil;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;Enfantdabord2;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;hamalus;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;AberlinJacklyne;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;scorpion496;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;LeGoulu;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;LubacGenevieve;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;leborgn90181021;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;angelo_bottone;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;alixgraccus1;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;Valeurs;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;Valeurs;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;Maleblanc16;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;JGrosjean7;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;gregaimerparis;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;Thompson_2017;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;MarcPiguel;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;OnNaQuUneMaman;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;me_guill;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;ScherrerBl;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;taurinflorian2;Partage;0.1;00c6d0f6e2e0f0e0
JenRavin;Zinzinuleuse;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;Barberis888;Partage;0.1;00c6d0f6e2e0f0e0
xarratt;OnarriveMarie;Partage;0.1;00c6d0f6e2e0f0e0
